Gene A,Gene B
ADCY3,TH
ADCY3,ANGPTL6
ADCY3,GUCY2C
ADCY3,PRKAR2B
ADCY3,PDE4C
ADCY3,PEA15
ADCY3,ADCY1
ADCY3,GNAS
ADCY3,RGS13
ADCY3,DLG2
ADCY3,PRKACG
ADCY3,TJP3
ADCY3,CAMK2D
ADCY3,CATSPER2
ADCY3,SPAG8
ADCY3,MAGI2
ADCY3,MYLK
ADCY3,ADCY6
ADCY3,MPP2
ADCY3,GUCY1A2
ADCY3,ADCY9
ADCY3,CPEB1
ADCY3,TRIM17
ADCY3,PDE1C
ADCY3,GUCY2F
ADCY3,MPP7
ADCY3,GNAI2
ADCY3,RAB3A
ADCY3,JAK2
ADCY3,MPP1
ADCY3,GNAI1
ADCY3,MPP3
ADCY3,CAMK2G
ADCY3,ADCY8
ADCY3,ADCY4
ADCY3,GNAQ
ADCY3,NPR2
ADCY3,SYT6
ADCY3,TJP2
ADCY3,GRIN2B
ADCY3,GUCY2D
ADCY3,SPATA9
ADCY3,MPP4
ADCY3,CAV1
ADCY3,PDE3B
ADCY3,CAMK2B
ADCY3,CABP2
ADCY3,CASK
ADCY3,POLR1C
ADCY3,ADCY5
ADCY3,ADCY3
ADCY3,MPP6
ADCY3,CARD14
ADCY3,GUCY1B1
ADCY3,GUCY1A1
ADCY3,ADAM7
ADCY3,DLG1
ADCY3,RYR1
ADCY3,STOML3
ADCY3,GUK1
ADCY3,MAGI3
ADCY3,-
ADCY3,ADCY7
ADCY3,GNAI3
ADCY3,MPP5
ADCY3,FLNA
ADCY3,PDE1A
ADCY3,DLG3
ADCY3,RRAD
ADCY3,PRKG2
ADCY3,PDE2A
ADCY3,NPR1
ADCY3,GNAZ
ADCY3,ADCY2
ADCY3,RGS2
ADCY3,ASL
ADCY3,EREG
ADCY3,DLG5
ADCY3,GRIA1
ADCY3,GNB3
TH,FOS
PRKAR2B,RPS6KB1
PEA15,RPS6KB1
GNAS,FOS
PRKACG,RPS6KB1
CAMK2D,RPS6KB1
MYLK,RPS6KB1
GNAI2,CXCR2
RAB3A,NFKB1
RAB3A,RPS6KB1
JAK2,IL27
JAK2,IL2RA
JAK2,OSMR
JAK2,PTPN2
JAK2,SH2B3
JAK2,TYK2
CAMK2G,FOS
CAMK2G,PTPN2
CAMK2G,TYK2
MPP4,CXCR2
CAV1,FOS
CAV1,NFKB1
CAV1,PTPN2
CAV1,TYK2
CAMK2B,RPS6KB1
-,CXCR2
-,FOS
-,NFKB1
-,PTPN2
-,RPS6KB1
-,TNFRSF6B
GNAI3,CXCR2
FLNA,NFKB1
FLNA,OSMR
FLNA,SH2B3
RRAD,FOS
RGS2,RPS6KB1
EREG,DNMT3B
EREG,OSMR
CXCR2,SIRPG
CXCR2,NOD2
CXCR2,C5AR1
CXCR2,CCR8
CXCR2,BDKRB2
CXCR2,SSTR5
CXCR2,LPAR5
CXCR2,MYO5B
CXCR2,CHRM1
CXCR2,NTSR2
CXCR2,GPR3
CXCR2,CX3CR1
CXCR2,LPAR3
CXCR2,HRH2
CXCR2,CXCR1
CXCR2,PTGIR
CXCR2,P2RY8
CXCR2,MMP1
CXCR2,CCRL2
CXCR2,P2RY6
CXCR2,CD86
CXCR2,CTSG
CXCR2,LPAR1
CXCR2,CCL18
CXCR2,CXCR2
CXCR2,CRHR1
CXCR2,CCR1
CXCR2,CYSLTR1
CXCR2,CD8A
CXCR2,FPR1
CXCR2,LTB4R
CXCR2,CD8B
CXCR2,TREM2
CXCR2,GNA14
CXCR2,CCKBR
CXCR2,PLEK
CXCR2,CHRM2
CXCR2,PRAM1
CXCR2,RXFP3
CXCR2,S1PR4
CXCR2,MAS1
CXCR2,P2RY1
CXCR2,STXBP2
CXCR2,CXCL6
CXCR2,CXCL5
CXCR2,NCF2
CXCR2,MSN
CXCR2,S1PR2
CXCR2,RAB11FIP2
CXCR2,IL4
CXCR2,FCMR
CXCR2,ADAM10
CXCR2,PF4
CXCR2,HRH1
CXCR2,AVPR1A
CXCR2,PICK1
CXCR2,CMTM7
CXCR2,CCL3L1
CXCR2,HTR2A
CXCR2,P2RY2
CXCR2,CCKAR
CXCR2,DRD1
CXCR2,CXCL2
CXCR2,LPAR2
CXCR2,RELA
CXCR2,EDNRB
CXCR2,GNA15
CXCR2,GPR55
CXCR2,CNR2
CXCR2,ACKR4
CXCR2,CCR9
CXCR2,MC5R
CXCR2,AGTR1
CXCR2,XCR1
CXCR2,CCL13
CXCR2,ACKR2
CXCR2,PTAFR
CXCR2,FPR3
CXCR2,SIGLEC1
CXCR2,SYK
CXCR2,CXCR4
CXCR2,MMP9
CXCR2,C5AR2
CXCR2,DRD5
CXCR2,PPBP
CXCR2,CD300C
CXCR2,SDC1
CXCR2,CXCL1
CXCR2,FPR2
CXCR2,ITGA1
CXCR2,TRAT1
CXCR2,CXCL8
CXCR2,FCGR3B
CXCR2,ADRA1A
CXCR2,ACKR1
CXCR2,CD3E
CXCR2,NCR2
CXCR2,C3AR1
CXCR2,AVPR1B
CXCR2,CMKLR1
CXCR2,MNDA
CXCR2,TIGIT
CXCR2,CCR3
CXCR2,CXCL3
CXCR2,DRD2
CXCR2,CD48
CXCR2,C3
CXCR2,ITGAM
NOD2,NFKB1
NOD2,OSMR
CCR8,GPR35
BDKRB2,GPR35
SSTR5,GPR35
GPR3,GPR35
LPAR3,FOS
LPAR3,NFKB1
P2RY8,GPR35
MMP1,FOS
P2RY6,GPR35
CD86,IL2RA
CD86,NFKB1
CD86,OSMR
CD86,SH2B3
LPAR1,NFKB1
CCL18,FAP
CRHR1,GPR35
CD8B,OSMR
CCKBR,GPR35
PLEK,SH2B3
MAS1,GPR35
P2RY1,GPR35
CXCL5,FOS
NCF2,SH2B3
S1PR2,GPR35
IL4,IL2RA
IL4,OSMR
FCMR,NFKB1
FCMR,OSMR
PF4,FOS
PF4,NFKB1
HTR2A,FOS
RELA,FOS
RELA,NFKB1
RELA,OSMR
RELA,PTPN2
RELA,RPS6KB1
RELA,TYK2
GPR55,GPR35
CNR2,GPR35
ACKR4,GPR35
CCR9,GPR35
MC5R,GPR35
XCR1,GPR35
PTAFR,TYK2
SIGLEC1,OSMR
SYK,IL2RA
SYK,PTPN2
SYK,SH2B3
SYK,TYK2
CXCR4,GPR35
CXCR4,NFKB1
MMP9,FOS
MMP9,NFKB1
PPBP,FOS
CXCL1,FOS
CXCL1,NFKB1
CXCL8,FOS
CXCL8,NFKB1
CXCL8,OSMR
ACKR1,FOS
CD3E,IL2RA
CD3E,SH2B3
CD3E,TYK2
C3AR1,NFKB1
TIGIT,IL2RA
CCR3,GPR35
CD48,SH2B3
C3,IL2RA
C3,KEAP1
C3,OSMR
ITGAM,NFKB1
DNMT3B,ARID4B
DNMT3B,PLK1
DNMT3B,PBRM1
DNMT3B,HOXD3
DNMT3B,CBX3
DNMT3B,NRCAM
DNMT3B,YY1
DNMT3B,SMC4
DNMT3B,PAICS
DNMT3B,DMAP1
DNMT3B,EZH1
DNMT3B,SAP18
DNMT3B,SMAD2
DNMT3B,TAL1
DNMT3B,EED
DNMT3B,BRD1
DNMT3B,DNMT3A
DNMT3B,HIST2H2AB
DNMT3B,AKAP8
DNMT3B,VWC2
DNMT3B,RERE
DNMT3B,H3F3A
DNMT3B,ZBTB17
DNMT3B,SMARCA5
DNMT3B,SUMO1
DNMT3B,DVL2
DNMT3B,ROCK2
DNMT3B,BAZ2A
DNMT3B,TOP1
DNMT3B,DSN1
DNMT3B,MDM2
DNMT3B,MIS12
DNMT3B,AR
DNMT3B,EHMT2
DNMT3B,NPHP1
DNMT3B,GNMT
DNMT3B,PRDM5
DNMT3B,RBBP7
DNMT3B,MTA3
DNMT3B,ASH2L
DNMT3B,KDM4C
DNMT3B,SMAD4
DNMT3B,PIAS1
DNMT3B,MEF2A
DNMT3B,PIAS2
DNMT3B,NCK1
DNMT3B,AGO4
DNMT3B,SUMO2
DNMT3B,RBBP4
DNMT3B,HDAC4
DNMT3B,PRKN
DNMT3B,NPM1
DNMT3B,SETD7
DNMT3B,SUV39H2
DNMT3B,SIN3A
DNMT3B,MTF2
DNMT3B,KMT5B
DNMT3B,CHAF1B
DNMT3B,UBE2C
DNMT3B,DBNL
DNMT3B,TP53
DNMT3B,UHRF2
DNMT3B,AKAP1
DNMT3B,UBE2B
DNMT3B,SREBF2
DNMT3B,SMAD7
DNMT3B,POT1
DNMT3B,CCL24
DNMT3B,UHRF1
DNMT3B,CHRAC1
DNMT3B,RWDD3
DNMT3B,RASA1
DNMT3B,SOX10
DNMT3B,DNMT3L
DNMT3B,SCMH1
DNMT3B,PACSIN1
DNMT3B,SP1
DNMT3B,NDC1
DNMT3B,RFWD3
DNMT3B,PLEKHB1
DNMT3B,RAD51
DNMT3B,BCL11B
DNMT3B,MAP3K1
DNMT3B,CHRD
DNMT3B,HDAC1
DNMT3B,MIER1
DNMT3B,CHAF1A
DNMT3B,ZNF274
DNMT3B,POLE3
DNMT3B,ESR1
DNMT3B,SH3PXD2B
DNMT3B,LIMA1
DNMT3B,HIPK2
DNMT3B,DAXX
DNMT3B,NSD2
DNMT3B,MID1
DNMT3B,PHF1
DNMT3B,SETDB2
DNMT3B,KMT2B
DNMT3B,MAP3K11
DNMT3B,BRCA1
DNMT3B,UBA2
DNMT3B,NCAPH
DNMT3B,SND1
DNMT3B,CEP72
DNMT3B,DGCR8
DNMT3B,CXCL10
DNMT3B,NSD1
DNMT3B,SHH
DNMT3B,KMT2A
DNMT3B,MUM1
DNMT3B,MKI67
DNMT3B,XRCC4
DNMT3B,PRMT1
DNMT3B,SETDB1
DNMT3B,SMARCA4
DNMT3B,MTA2
DNMT3B,KMT2E
DNMT3B,RANBP2
DNMT3B,SETD2
DNMT3B,ZBTB16
DNMT3B,SUV39H1
DNMT3B,PRMT5
DNMT3B,ATF7IP
DNMT3B,PACSIN3
DNMT3B,MAPK8IP1
DNMT3B,MYC
DNMT3B,PIK3R1
DNMT3B,CBX2
DNMT3B,BCOR
DNMT3B,UBE2I
DNMT3B,FTSJ3
DNMT3B,CENPA
DNMT3B,BANP
DNMT3B,RCOR1
DNMT3B,MBD4
DNMT3B,PCGF2
DNMT3B,AURKA
DNMT3B,HDGF
DNMT3B,BAZ1B
DNMT3B,NSD3
DNMT3B,ING2
DNMT3B,MSH6
DNMT3B,BRPF1
DNMT3B,DOT1L
DNMT3B,PRDM1
DNMT3B,CRX
DNMT3B,PRMT2
DNMT3B,RNF4
DNMT3B,MAP3K9
DNMT3B,MECP2
DNMT3B,PML
DNMT3B,MBD3
DNMT3B,TRDMT1
DNMT3B,BAZ1A
DNMT3B,SMC2
DNMT3B,INCENP
DNMT3B,NHEJ1
DNMT3B,MITF
DNMT3B,SGO1
DNMT3B,KDM1A
DNMT3B,STAT3
DNMT3B,PIWIL2
DNMT3B,SKIL
DNMT3B,DNMT1
DNMT3B,E2F1
DNMT3B,BDNF
DNMT3B,SIN3B
DNMT3B,RECQL4
DNMT3B,SAP30
DNMT3B,RAD21
DNMT3B,PIWIL4
DNMT3B,NCAPD2
DNMT3B,MTA1
DNMT3B,XRCC6
DNMT3B,SOCS3
DNMT3B,STAC
DNMT3B,AGO3
DNMT3B,KDM4B
DNMT3B,ZBTB18
DNMT3B,KALRN
DNMT3B,NME6
DNMT3B,E2F6
DNMT3B,CCL2
DNMT3B,TRIM28
DNMT3B,HIF1A
DNMT3B,SORBS3
DNMT3B,SMARCD1
DNMT3B,JUN
DNMT3B,HELLS
DNMT3B,SETD1A
DNMT3B,CENPE
DNMT3B,FYN
DNMT3B,NCAPD3
DNMT3B,SET
DNMT3B,NTHL1
DNMT3B,HDAC3
DNMT3B,DIRAS3
DNMT3B,NCK2
DNMT3B,RRP8
DNMT3B,SETD1B
DNMT3B,TCF3
DNMT3B,MAP3K10
