Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database
ADCY3,TH,O60266,P07101,IID
ADCY3,ANGPTL6,O60266,Q8NI99,IID
ADCY3,GUCY2C,O60266,P25092,IID
ADCY3,PRKAR2B,O60266,P31323,IID
ADCY3,PDE4C,O60266,Q08493,IID
ADCY3,PEA15,O60266,Q15121,IID
ADCY3,ADCY1,O60266,Q08828,IID
ADCY3,GNAS,O60266,O95467,IID
ADCY3,RGS13,O60266,O14921,IID
ADCY3,DLG2,O60266,Q15700,IID
ADCY3,PRKACG,O60266,P22612,IID
ADCY3,TJP3,O60266,O95049,IID
ADCY3,CAMK2D,O60266,Q13557,IID
ADCY3,CATSPER2,O60266,Q96P56,IID
ADCY3,SPAG8,O60266,Q99932,IID
ADCY3,MAGI2,O60266,Q86UL8,IID
ADCY3,MYLK,O60266,Q15746,IID
ADCY3,ADCY6,O60266,O43306,IID
ADCY3,MPP2,O60266,Q14168,IID
ADCY3,GUCY1A2,O60266,P33402,IID
ADCY3,ADCY9,O60266,O60503,IID
ADCY3,CPEB1,O60266,Q9BZB8,IID
ADCY3,TRIM17,O60266,Q9Y577,IID
ADCY3,PDE1C,O60266,Q14123,IID
ADCY3,GUCY2F,O60266,P51841,IID
ADCY3,MPP7,O60266,Q5T2T1,IID
ADCY3,GNAI2,O60266,P04899,IID
ADCY3,RAB3A,O60266,P20336,IID
ADCY3,JAK2,O60266,O60674,IID
ADCY3,MPP1,O60266,Q00013,IID
ADCY3,GNAI1,O60266,P63096,IID
ADCY3,MPP3,O60266,Q13368,IID
ADCY3,CAMK2G,O60266,Q13555,IID
ADCY3,ADCY8,O60266,P40145,IID
ADCY3,ADCY4,O60266,Q8NFM4,IID
ADCY3,GNAQ,O60266,P50148,IID
ADCY3,NPR2,O60266,P20594,IID
ADCY3,SYT6,O60266,Q5T7P8,IID
ADCY3,TJP2,O60266,Q9UDY2,IID
ADCY3,GRIN2B,O60266,Q13224,IID
ADCY3,GUCY2D,O60266,Q02846,IID
ADCY3,SPATA9,O60266,Q9BWV2,IID
ADCY3,MPP4,O60266,Q96JB8,IID
ADCY3,CAV1,O60266,Q03135,IID
ADCY3,PDE3B,O60266,Q13370,IID
ADCY3,CAMK2B,O60266,Q13554,IID
ADCY3,CABP2,O60266,Q9NPB3,IID
ADCY3,CASK,O60266,O14936,IID
ADCY3,POLR1C,O60266,O15160,IID
ADCY3,ADCY5,O60266,O95622,IID
ADCY3,ADCY3,O60266,O60266,IID
ADCY3,MPP6,O60266,Q9NZW5,IID
ADCY3,CARD14,O60266,Q9BXL6,IID
ADCY3,GUCY1B1,O60266,Q02153,IID
ADCY3,GUCY1A1,O60266,Q02108,IID
ADCY3,ADAM7,O60266,Q9H2U9,IID
ADCY3,DLG1,O60266,Q12959,IID
ADCY3,RYR1,O60266,P21817,IID
ADCY3,STOML3,O60266,Q8TAV4,IID
ADCY3,GUK1,O60266,Q16774,IID
ADCY3,MAGI3,O60266,Q5TCQ9,IID
ADCY3,-,O60266,#N/A,IID
ADCY3,ADCY7,O60266,P51828,IID
ADCY3,GNAI3,O60266,P08754,IID
ADCY3,MPP5,O60266,Q8N3R9,IID
ADCY3,FLNA,O60266,P21333,IID
