Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database
ADCY3,ADCY3,O60266,O60266,IID
CXCR2,CXCR2,P25025,P25025,IID
DNMT3B,DNMT3B,Q9UBC3,Q9UBC3,IID
FAP,FAP,Q12884,Q12884,IID
FOS,FOS,P01100,P01100,IID
FOS,IL2RA,P01100,P01589,IID
FOS,TYK2,P01100,P29597,IID
FOS,NFKB1,P01100,P19838,IID
GPR35,GPR35,Q9HC97,Q9HC97,IID
IFIH1,IFIH1,Q9BYX4,Q9BYX4,IID
IL23R,IL23R,Q5VWK5,Q5VWK5,IID
IL2RA,PTPN2,P01589,P17706,IID
IL2RA,NFKB1,P01589,P19838,IID
IL2RA,IL2RA,P01589,P01589,IID
KEAP1,KEAP1,Q14145,Q14145,IID
NFKB1,OSMR,P19838,Q99650,IID
NFKB1,NFKB1,P19838,P19838,IID
PTPN2,TYK2,P17706,P29597,IID
PTPN2,SH2B3,P17706,Q9UQQ2,IID
RPS6KB1,RPS6KB1,P23443,P23443,IID
SH2B3,SH2B3,Q9UQQ2,Q9UQQ2,IID
TYK2,OSMR,P29597,Q99650,IID
TYK2,TYK2,P29597,P29597,IID
TYK2,IL23R,P29597,Q5VWK5,IID
TYK2,SH2B3,P29597,Q9UQQ2,IID
