Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database,,,,
ADCY3,CD79B,O60266,P40259,BioGRID,,,,
CXCR2,RAB11FIP2,P25025,Q7L804,BioGRID,,,,
FOS,RP11-261N11.1,P01100,#N/A,BioGRID,,,,
FUT2,HSPC294,Q10981,#N/A,BioGRID,,,,
GPR35,YES1,Q9HC97,P07947,BioGRID,,,,
IFIH1,Sart1,Q9BYX4,O43290,BioGRID,,,,
IL23R,UNQ2498/PRO5798,Q5VWK5,#N/A,BioGRID,,,,
RPS6KB1,SQSTM1,P23443,Q13501,BioGRID,,,,
ADCY3,SLC4A8,O60266,Q2Y0W8,IID,,,,
ADCY3,TH,O60266,P07101,IID,,,,
ADCY3,LGALS3,O60266,P17931,IID,,,,
ADCY3,ANGPTL6,O60266,Q8NI99,IID,,,,
ADCY3,SLC17A2,O60266,O00624,IID,,,,
ADCY3,GUCY2C,O60266,P25092,IID,,,,
ADCY3,PRKAR2B,O60266,P31323,IID,,,,
ADCY3,PDE4C,O60266,Q08493,IID,,,,
ADCY3,PEA15,O60266,Q15121,IID,,,,
ADCY3,ADCY1,O60266,Q08828,IID,,,,
ADCY3,GNAS,O60266,O95467,IID,,,,
ADCY3,RGS13,O60266,O14921,IID,,,,
ADCY3,DLG2,O60266,Q15700,IID,,,,
ADCY3,IL17RC,O60266,Q8NAC3,IID,,,,
ADCY3,PRKACG,O60266,P22612,IID,,,,
ADCY3,TJP3,O60266,O95049,IID,,,,
ADCY3,CAMK2D,O60266,Q13557,IID,,,,
ADCY3,CATSPER2,O60266,Q96P56,IID,,,,
ADCY3,SPAG8,O60266,Q99932,IID,,,,
ADCY3,MAGI2,O60266,Q86UL8,IID,,,,
ADCY3,MYLK,O60266,Q15746,IID,,,,
ADCY3,ADCY6,O60266,O43306,IID,,,,
ADCY3,MPP2,O60266,Q14168,IID,,,,
ADCY3,GUCY1A2,O60266,P33402,IID,,,,
ADCY3,ADCY9,O60266,O60503,IID,,,,
ADCY3,CPEB1,O60266,Q9BZB8,IID,,,,
ADCY3,GNAS,O60266,O95467,IID,,,,
ADCY3,TRIM17,O60266,Q9Y577,IID,,,,
ADCY3,PDE1C,O60266,Q14123,IID,,,,
ADCY3,GUCY2F,O60266,P51841,IID,,,,
ADCY3,KCNA5,O60266,P22460,IID,,,,
ADCY3,MPP7,O60266,Q5T2T1,IID,,,,
ADCY3,ANKMY2,O60266,Q8IV38,IID,,,,
ADCY3,GNAI2,O60266,P04899,IID,,,,
ADCY3,CNGA3,O60266,Q16281,IID,,,,
ADCY3,RAB3A,O60266,P20336,IID,,,,
ADCY3,JAK2,O60266,O60674,IID,,,,
ADCY3,MPP1,O60266,Q00013,IID,,,,
ADCY3,GNAI1,O60266,P63096,IID,,,,
ADCY3,MPP3,O60266,Q13368,IID,,,,
ADCY3,CAMK2G,O60266,Q13555,IID,,,,
ADCY3,ADCY8,O60266,P40145,IID,,,,
ADCY3,ADCY4,O60266,Q8NFM4,IID,,,,
ADCY3,GNAQ,O60266,P50148,IID,,,,
ADCY3,NPR2,O60266,P20594,IID,,,,
ADCY3,POPDC2,O60266,Q9HBU9,IID,,,,
ADCY3,SYT6,O60266,Q5T7P8,IID,,,,
ADCY3,ADRB2,O60266,P07550,IID,,,,
ADCY3,TJP2,O60266,Q9UDY2,IID,,,,
ADCY3,GRIN2B,O60266,Q13224,IID,,,,
ADCY3,GUCY2D,O60266,Q02846,IID,,,,
ADCY3,SPATA9,O60266,Q9BWV2,IID,,,,
ADCY3,MPP4,O60266,Q96JB8,IID,,,,
ADCY3,CAV1,O60266,Q03135,IID,,,,
ADCY3,PDE3B,O60266,Q13370,IID,,,,
ADCY3,CAMK2B,O60266,Q13554,IID,,,,
ADCY3,CABP2,O60266,Q9NPB3,IID,,,,
ADCY3,CASK,O60266,O14936,IID,,,,
ADCY3,POLR1C,O60266,O15160,IID,,,,
ADCY3,ADCY5,O60266,O95622,IID,,,,
ADCY3,ADCY3,O60266,O60266,IID,,,,
ADCY3,MPP6,O60266,Q9NZW5,IID,,,,
ADCY3,PCDHGA5,O60266,Q9Y5G8,IID,,,,
ADCY3,CARD14,O60266,Q9BXL6,IID,,,,
ADCY3,GUCY1B1,O60266,Q02153,IID,,,,
ADCY3,CD79B,O60266,P40259,IID,,,,
ADCY3,GUCY1A1,O60266,Q02108,IID,,,,
ADCY3,ADAM7,O60266,Q9H2U9,IID,,,,
ADCY3,DLG1,O60266,Q12959,IID,,,,
ADCY3,RYR1,O60266,P21817,IID,,,,
ADCY3,STOML3,O60266,Q8TAV4,IID,,,,
ADCY3,GUK1,O60266,Q16774,IID,,,,
ADCY3,MAGI3,O60266,Q5TCQ9,IID,,,,
ADCY3,MTNR1B,O60266,P49286,IID,,,,
ADCY3,-,O60266,#N/A,IID,,,,
ADCY3,ADCY7,O60266,P51828,IID,,,,
ADCY3,GNAI3,O60266,P08754,IID,,,,
ADCY3,ASIC4,O60266,Q96FT7,IID,,,,
ADCY3,MPP5,O60266,Q8N3R9,IID,,,,
ADCY3,FLNA,O60266,P21333,IID,,,,
ADCY3,IZUMO1,O60266,Q8IYV9,IID,,,,
ADCY3,PDE1A,O60266,P54750,IID,,,,
ADCY3,DLG3,O60266,Q92796,IID,,,,
ADCY3,RRAD,O60266,P55042,IID,,,,
ADCY3,PRKG2,O60266,Q13237,IID,,,,
ADCY3,PDE2A,O60266,O00408,IID,,,,
ADCY3,NPR1,O60266,P16066,IID,,,,
ADCY3,GNAZ,O60266,P19086,IID,,,,
ADCY3,ADCY2,O60266,Q08462,IID,,,,
ADCY3,RGS2,O60266,P41220,IID,,,,
ADCY3,ASL,O60266,P04424,IID,,,,
ADCY3,EREG,O60266,O14944,IID,,,,
ADCY3,DLG5,O60266,Q8TDM6,IID,,,,
ADCY3,GRIA1,O60266,P42261,IID,,,,
ADCY3,GNB3,O60266,P16520,IID,,,,
CXCR2,PPP2CA,P25025,P67775,IID,,,,
CXCR2,GRIA1,P25025,P42261,IID,,,,
CXCR2,SIRPG,P25025,Q9P1W8,IID,,,,
CXCR2,NOD2,P25025,Q9HC29,IID,,,,
CXCR2,C5AR1,P25025,P21730,IID,,,,
CXCR2,GNAI3,P25025,P08754,IID,,,,
CXCR2,CCR8,P25025,P51685,IID,,,,
CXCR2,BDKRB2,P25025,P30411,IID,,,,
CXCR2,SSTR5,P25025,P35346,IID,,,,
CXCR2,GPRASP1,P25025,Q5JY77,IID,,,,
CXCR2,LPAR5,P25025,Q9H1C0,IID,,,,
CXCR2,MYO5B,P25025,Q9ULV0,IID,,,,
CXCR2,CHRM1,P25025,P11229,IID,,,,
CXCR2,NTSR2,P25025,O95665,IID,,,,
CXCR2,GPR3,P25025,P46089,IID,,,,
CXCR2,CX3CR1,P25025,P49238,IID,,,,
CXCR2,LPAR3,P25025,Q9UBY5,IID,,,,
CXCR2,IQGAP1,P25025,P46940,IID,,,,
CXCR2,VCP,P25025,P55072,IID,,,,
CXCR2,CXCL9,P25025,Q07325,IID,,,,
CXCR2,HRH2,P25025,P25021,IID,,,,
CXCR2,BRF1,P25025,Q92994,IID,,,,
CXCR2,CXCR1,P25025,P25024,IID,,,,
CXCR2,PTGIR,P25025,P43119,IID,,,,
CXCR2,P2RY8,P25025,Q86VZ1,IID,,,,
CXCR2,MMP1,P25025,P03956,IID,,,,
CXCR2,CCRL2,P25025,O00421,IID,,,,
CXCR2,P2RY6,P25025,Q15077,IID,,,,
CXCR2,CD86,P25025,P42081,IID,,,,
CXCR2,CTSG,P25025,P08311,IID,,,,
CXCR2,LPAR1,P25025,Q92633,IID,,,,
CXCR2,CCL18,P25025,P55774,IID,,,,
CXCR2,CXCR2,P25025,P25025,IID,,,,
CXCR2,CRHR1,P25025,P34998,IID,,,,
CXCR2,CCR1,P25025,P32246,IID,,,,
CXCR2,CYSLTR1,P25025,Q9Y271,IID,,,,
CXCR2,CD8A,P25025,P01732,IID,,,,
CXCR2,FPR1,P25025,P21462,IID,,,,
CXCR2,LTB4R,P25025,Q15722,IID,,,,
CXCR2,CD8B,P25025,P10966,IID,,,,
CXCR2,TREM2,P25025,Q9NZC2,IID,,,,
CXCR2,GNA14,P25025,O95837,IID,,,,
CXCR2,-,P25025,#N/A,IID,,,,
CXCR2,CCKBR,P25025,P32239,IID,,,,
CXCR2,PLEK,P25025,P08567,IID,,,,
CXCR2,CHRM2,P25025,P08172,IID,,,,
CXCR2,VASP,P25025,P50552,IID,,,,
CXCR2,PRAM1,P25025,Q96QH2,IID,,,,
CXCR2,RXFP3,P25025,Q9NSD7,IID,,,,
CXCR2,PPP2R1A,P25025,P30153,IID,,,,
CXCR2,S1PR4,P25025,O95977,IID,,,,
