#rank	DIAMOnD_node
1	809
2	32
3	924
4	810
5	428
6	802
7	104
8	308
9	1248
10	1256
11	1325
12	1687
13	160
14	1762
15	474
16	1188
17	87
18	1677
19	632
20	881
21	852
22	1449
23	1108
24	203
25	792
26	141
27	2506
28	179
29	247
30	1247
31	1998
32	96
33	318
34	2250
35	1138
36	995
37	2121
38	2343
39	446
40	2132
41	2135
42	2114
43	1118
44	1587
45	4
46	1102
47	1582
48	1589
49	1719
50	2083
51	424
52	1608
53	166
54	250
55	1149
56	1147
57	249
58	1285
59	2048
60	103
61	23
62	386
63	1169
64	1748
65	2927
66	2072
67	2078
68	986
69	1567
70	1563
71	262
72	2158
73	1355
74	1181
75	1187
76	450
77	1431
78	1650
79	2349
80	1536
81	1336
82	1069
83	716
84	1261
85	1262
86	2006
87	2644
88	957
89	2134
90	2136
91	3051
92	5
93	1093
94	1616
95	2109
96	2367
97	2561
98	443
99	1469
100	3125
101	1683
102	889
103	2115
104	1080
105	1475
106	1699
107	195
108	466
109	3103
110	2952
111	1734
112	400
113	405
114	1586
115	2097
116	1271
117	928
118	821
119	1691
120	2151
121	2089
122	1238
123	1701
124	1700
125	221
126	2189
127	1321
128	1154
129	163
130	381
131	419
132	2058
133	2059
134	172
135	241
136	409
137	680
138	686
139	1622
140	353
141	309
142	403
143	362
144	345
145	473
146	1292
147	1298
148	1164
149	1639
150	2922
151	2075
152	2076
153	2070
154	2071
155	2079
156	116
157	985
158	987
159	2471
160	2490
161	1290
162	1561
163	357
164	1510
165	1421
166	2062
167	2061
168	2069
169	2240
170	2244
171	2484
172	2958
173	3073
174	2339
175	2337
176	767
177	3084
178	1504
179	458
180	1435
181	1653
182	2904
183	708
184	134
185	137
186	130
187	3039
188	2125
189	2346
190	1633
191	3099
192	1540
193	441
194	1407
195	1408
196	2827
197	1526
198	3022
199	1666
200	1061
