label	x	y
Fc5	-6.048352337	2.493654901
Fc3	-4.226166676	2.310754699
Fc1	-2.288567708	2.324094002
Fcz	-0.00098216	2.438351339
Fc2	2.288827105	2.320489312
Fc4	4.221502511	2.304689325
Fc6	6.041663556	2.479299076
C5	-6.187522779	0.045574893
C3	-4.368922813	0.059066349
C1	-2.360571674	0.029455191
Cz	0	0
C2	2.363375597	0.030128224
C4	4.359568945	0.062457221
C6	6.172689084	0.055581998
Cp5	-6.040115161	-2.613194407
Cp3	-4.29666103	-2.453704771
Cp1	-2.355859296	-2.400037215
Cpz	-0.007452049	-2.476404179
Cp2	2.358277707	-2.397791894
Cp4	4.292641017	-2.450680964
Cp6	6.031052712	-2.615184672
Fp1	-3.068836819	9.403088555
Fpz	-0.007140118	10.01427719
Fp2	3.072781554	9.395102361
Af7	-5.52634382	7.353176712
Af3	-3.005848817	7.277914115
Afz	0.005936864	7.4136659
Af4	3.0022251	7.268822449
Af8	5.518681599	7.34549635
F7	-6.740877855	5.197919388
F5	-5.284940084	4.963448426
F3	-3.667128231	4.860966919
F1	-1.887152761	4.913721929
Fz	0.00342214	4.914553629
F2	1.88560969	4.909082604
F4	3.669120025	4.850577913
F6	5.271373396	4.953149982
F8	6.728732626	5.189847773
Ft7	-7.598476621	2.71725421
Ft8	7.581593328	2.715036328
T7	-7.904722659	-0.005839694
T8	7.886291821	-0.007040571
T9	-10.00724193	1.204818056
T10	9.980239807	1.200976403
Tp7	-7.724029692	-2.99163406
Tp8	7.706701877	-2.987736294
P7	-7.076533266	-5.388995565
P5	-5.51097542	-4.959014967
P3	-3.792786293	-4.811786593
P1	-1.991220815	-4.968323957
Pz	-0.005494181	-4.955598607
P2	1.994973803	-4.964790184
P4	3.790867303	-4.803864166
P6	5.504374926	-4.949533578
P8	7.062356899	-5.379814497
Po7	-5.66300962	-7.398061649
Po3	-2.992921225	-7.190933033
Poz	-0.001026436	-7.36733535
Po4	2.993719543	-7.182033788
Po8	5.655362864	-7.383619433
O1	-3.053347204	-9.356056944
Oz	0.031466282	-10.04124981
O2	3.05708796	-9.346327282
Iz	-0.000783883	-11.81182725
