,x,y,z,xproj,yproj,,,,,label,x,y
A1,-8.13936605,-0.97010287,-6.18062103,-13.16280693,-1.568829403,,,,,Fc5,-6.048352337,2.493654901
A2,8.174280516,-0.9471644,-6.194939538,13.23819787,-1.533927019,,,,,Fc3,-4.226166676,2.310754699
AF1,-1.958734939,9.224937648,3.963879538,-1.573583938,7.411014846,,,,,Fc1,-2.288567708,2.324094002
AF2,1.963216833,9.213408991,3.958723535,1.577588044,7.403646722,,,,,Fcz,-0.00098216,2.438351339
AF3,-3.618496306,8.76128739,3.3008277,-3.005848817,7.277914115,,,,,Fc2,2.288827105,2.320489312
AF4,3.612692461,8.746852482,3.293051549,3.0022251,7.268822449,,,,,Fc4,4.221502511,2.304689325
AF5,-4.83393583,8.150109765,2.055089877,-4.289598483,7.232346419,,,,,Fc6,6.041663556,2.479299076
AF6,4.823361056,8.135546498,2.047223002,4.282060337,7.222536438,,,,,C5,-6.187522779,0.045574893
AF7,-5.629353779,7.490238476,0.30187048,-5.52634382,7.353176712,,,,,C3,-4.368922813,0.059066349
AF8,5.620152327,7.480556302,0.297772627,5.518681599,7.34549635,,,,,C1,-2.360571674,0.029455191
AFZ,0.007489171,9.352111373,4.23447828,0.005936864,7.4136659,,,,,Cz,0,0
C1,-3.679615092,0.045914202,9.049430114,-2.360571674,0.029455191,,,,,C2,2.363375597,0.030128224
C2,3.682561691,0.046945159,9.039671503,2.363375597,0.030128224,,,,,C4,4.359568945,0.062457221
C3,-6.17293365,0.083455962,6.687196751,-4.368922813,0.059066349,,,,,C6,6.172689084,0.055581998
C4,6.159657292,0.088246128,6.686973488,4.359568945,0.062457221,,,,,Cp5,-6.040115161,-2.613194407
C5,-7.576819788,0.055807916,3.636282543,-6.187522779,0.045574893,,,,,Cp3,-4.29666103,-2.453704771
C6,7.551860487,0.068000751,3.618454968,6.172689084,0.055581998,,,,,Cp1,-2.355859296,-2.400037215
CP1,-3.601474022,-3.669010155,8.562758905,-2.355859296,-2.400037215,,,,,Cpz,-0.007452049,-2.476404179
CP2,3.603661906,-3.664043161,8.552394711,2.358277707,-2.397791894,,,,,Cp2,2.358277707,-2.397791894
CP3,-5.9603881,-3.403813476,6.270906433,-4.29666103,-2.453704771,,,,,Cp4,4.292641017,-2.450680964
