,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
0,6,492,632.8+-28.6,-4.92,1.0,604.1999999999999,661.4,['ANTI-MOTIF']
1,12,799,825.6+-27.7,-0.96,0.855,797.9,853.3000000000001,['NA']
2,14,50,72.8+-10.2,-2.24,0.99,62.599999999999994,83.0,['ANTI-MOTIF']
3,36,8816,8911.8+-35.4,-2.7,0.995,8876.4,8947.199999999999,['ANTI-MOTIF']
4,38,1711,1645.8+-33.9,1.92,0.015,1611.8999999999999,1679.7,['MOTIF']
5,46,80,49.3+-5.0,6.16,0.0,44.3,54.3,['MOTIF']
6,74,1411,1523.8+-33.6,-3.36,1.0,1490.2,1557.3999999999999,['ANTI-MOTIF']
7,78,32,78.4+-8.2,-5.69,1.0,70.2,86.60000000000001,['ANTI-MOTIF']
8,98,14,18.6+-5.0,-0.94,0.845,13.600000000000001,23.6,['NA']
9,102,96,120.7+-7.9,-3.13,1.0,112.8,128.6,['ANTI-MOTIF']
10,108,1628,1552.3+-19.2,3.94,0.0,1533.1,1571.5,['MOTIF']
11,110,211,224.9+-11.2,-1.24,0.92,213.70000000000002,236.1,['ANTI-MOTIF']
12,238,101,80.9+-4.0,5.06,0.0,76.9,84.9,['MOTIF']
