,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
0,14,121,207.8+-28.2,-3.08,1.0,179.60000000000002,236.0,['ANTI-MOTIF']
1,28,166,508.0+-69.7,-4.9,1.0,438.3,577.7,['ANTI-MOTIF']
2,30,7,30.5+-10.1,-2.33,0.995,20.4,40.6,['ANTI-MOTIF']
3,74,833,1052.3+-84.2,-2.6,0.99,968.0999999999999,1136.5,['ANTI-MOTIF']
4,76,10054,12493.8+-552.0,-4.42,1.0,11941.8,13045.8,['ANTI-MOTIF']
5,78,693,877.9+-70.1,-2.64,0.99,807.8,948.0,['ANTI-MOTIF']
6,90,5,26.8+-9.0,-2.42,0.995,17.8,35.8,['ANTI-MOTIF']
7,92,503,811.5+-100.3,-3.08,1.0,711.2,911.8,['ANTI-MOTIF']
8,94,28,42.6+-10.5,-1.39,0.93,32.1,53.1,['ANTI-MOTIF']
9,204,1567,2372.0+-451.0,-1.79,0.97,1921.0,2823.0,['ANTI-MOTIF']
10,206,267,336.8+-87.3,-0.8,0.76,249.5,424.1,['NA']
11,222,13,9.0+-5.8,0.69,0.265,3.2,14.8,['NA']
12,280,6344,6278.8+-544.3,0.12,0.455,5734.5,6823.1,['NA']
13,282,441,919.6+-115.0,-4.16,1.0,804.6,1034.6,['ANTI-MOTIF']
14,286,14,35.2+-10.5,-2.02,1.0,24.700000000000003,45.7,['ANTI-MOTIF']
15,328,698,873.6+-108.4,-1.62,0.965,765.2,982.0,['ANTI-MOTIF']
16,330,10,54.2+-16.1,-2.74,1.0,38.1,70.30000000000001,['ANTI-MOTIF']
17,332,527,687.6+-103.8,-1.55,0.93,583.8000000000001,791.4,['ANTI-MOTIF']
18,334,28,38.9+-10.9,-1.0,0.84,28.0,49.8,['NA']
19,344,1147,840.1+-98.4,3.12,0.0,741.7,938.5,['MOTIF']
20,346,18,44.7+-11.2,-2.38,0.995,33.5,55.900000000000006,['ANTI-MOTIF']
21,348,761,691.6+-118.8,0.58,0.275,572.8000000000001,810.4,['NA']
22,350,56,41.9+-11.4,1.23,0.11,30.5,53.3,['MOTIF']
23,390,41,61.1+-17.5,-1.15,0.89,43.6,78.6,['ANTI-MOTIF']
24,392,11477,10559.8+-448.7,2.04,0.02,10111.099999999999,11008.5,['MOTIF']
25,394,693,682.8+-51.5,0.2,0.41,631.3,734.3,['NA']
26,396,722,807.7+-96.5,-0.89,0.795,711.2,904.2,['NA']
27,398,20,47.8+-12.0,-2.33,1.0,35.8,59.8,['ANTI-MOTIF']
28,404,887,951.2+-72.2,-0.89,0.825,879.0,1023.4000000000001,['NA']
29,406,19,61.8+-15.8,-2.71,1.0,46.0,77.6,['ANTI-MOTIF']
30,408,9535,9120.9+-353.4,1.17,0.105,8767.5,9474.3,['MOTIF']
31,410,818,568.2+-70.9,3.53,0.0,497.30000000000007,639.1,['MOTIF']
32,412,442,738.3+-92.0,-3.22,1.0,646.3,830.3,['ANTI-MOTIF']
33,414,31,51.2+-10.1,-1.99,0.99,41.1,61.300000000000004,['ANTI-MOTIF']
34,454,13,43.9+-12.0,-2.59,1.0,31.9,55.9,['ANTI-MOTIF']
35,456,534,719.5+-96.0,-1.93,0.985,623.5,815.5,['ANTI-MOTIF']
36,458,21,42.6+-11.8,-1.82,0.975,30.8,54.400000000000006,['ANTI-MOTIF']
37,460,331,589.8+-111.8,-2.32,1.0,477.99999999999994,701.5999999999999,['ANTI-MOTIF']
38,462,15,33.9+-11.3,-1.67,0.99,22.599999999999998,45.2,['ANTI-MOTIF']
39,468,301,356.8+-44.9,-1.24,0.92,311.90000000000003,401.7,['ANTI-MOTIF']
40,470,26,40.0+-9.9,-1.42,0.955,30.1,49.9,['ANTI-MOTIF']
41,472,606,647.0+-70.6,-0.58,0.72,576.4,717.6,['NA']
42,474,17,34.1+-8.6,-1.98,0.985,25.5,42.7,['ANTI-MOTIF']
43,476,404,567.3+-118.6,-1.38,0.915,448.69999999999993,685.9,['ANTI-MOTIF']
44,478,39,35.4+-12.4,0.29,0.395,23.0,47.8,['NA']
45,856,40,24.1+-8.8,1.8,0.07,15.3,32.900000000000006,['MOTIF']
46,858,49,45.4+-10.9,0.33,0.415,34.5,56.3,['NA']
47,862,43,33.0+-9.9,1.01,0.17,23.1,42.9,['MOTIF']
48,904,372,369.1+-43.0,0.07,0.47,326.1,412.1,['NA']
49,906,827,595.8+-66.1,3.5,0.0,529.6999999999999,661.9,['MOTIF']
50,908,30,42.8+-12.9,-0.99,0.83,29.9,55.699999999999996,['NA']
51,910,57,34.3+-9.7,2.34,0.02,24.599999999999998,44.0,['MOTIF']
52,922,431,267.9+-43.7,3.74,0.0,224.2,311.59999999999997,['MOTIF']
53,924,33,37.0+-10.7,-0.38,0.675,26.3,47.7,['NA']
54,926,38,39.1+-10.5,-0.1,0.56,28.6,49.6,['NA']
55,972,12,23.3+-7.8,-1.45,0.945,15.5,31.1,['ANTI-MOTIF']
56,974,23,34.1+-11.0,-1.0,0.865,23.1,45.1,['ANTI-MOTIF']
57,990,18,28.4+-9.3,-1.12,0.895,19.099999999999998,37.7,['ANTI-MOTIF']
58,2184,66142,67641.1+-1200.9,-1.25,0.9,66440.20000000001,68842.0,['ANTI-MOTIF']
59,2186,31875,30816.8+-673.1,1.57,0.06,30143.7,31489.899999999998,['MOTIF']
60,2190,1167,1210.2+-79.7,-0.54,0.69,1130.5,1289.9,['NA']
61,2202,1446,1147.2+-114.8,2.6,0.0,1032.4,1262.0,['MOTIF']
62,2204,1847,2159.9+-93.6,-3.34,1.0,2066.3,2253.5,['ANTI-MOTIF']
63,2206,101,147.5+-20.9,-2.23,1.0,126.6,168.4,['ANTI-MOTIF']
64,2252,12641,12628.9+-357.0,0.03,0.53,12271.9,12985.9,['NA']
65,2254,2324,1901.8+-133.7,3.16,0.005,1768.1,2035.5,['MOTIF']
66,2270,120,59.7+-13.0,4.65,0.0,46.7,72.7,['MOTIF']
67,2458,1744,1978.1+-163.4,-1.43,0.92,1814.6999999999998,2141.5,['ANTI-MOTIF']
68,2462,63,84.6+-16.1,-1.34,0.925,68.5,100.69999999999999,['ANTI-MOTIF']
69,2506,24,46.5+-11.2,-2.01,0.985,35.3,57.7,['ANTI-MOTIF']
70,2510,100,123.1+-16.7,-1.38,0.925,106.39999999999999,139.79999999999998,['ANTI-MOTIF']
71,2524,1292,1005.2+-113.6,2.53,0.0,891.6,1118.8,['MOTIF']
72,2526,186,142.6+-24.5,1.77,0.045,118.1,167.1,['MOTIF']
73,3038,62,40.9+-11.5,1.84,0.05,29.4,52.4,['MOTIF']
74,4370,10615,11452.6+-523.0,-1.6,0.94,10929.6,11975.6,['ANTI-MOTIF']
75,4374,369,706.3+-78.2,-4.31,1.0,628.0999999999999,784.5,['ANTI-MOTIF']
76,4382,5,15.7+-5.9,-1.83,0.995,9.799999999999999,21.6,['ANTI-MOTIF']
77,4418,325,680.9+-113.5,-3.14,1.0,567.4,794.4,['ANTI-MOTIF']
78,4420,4342,4516.6+-228.6,-0.76,0.76,4288.0,4745.200000000001,['NA']
79,4422,643,577.8+-73.9,0.88,0.195,503.9,651.6999999999999,['NA']
80,4424,1071,798.8+-68.2,3.99,0.0,730.5999999999999,867.0,['MOTIF']
81,4426,12,49.3+-12.0,-3.11,1.0,37.3,61.3,['ANTI-MOTIF']
82,4428,607,805.4+-80.9,-2.45,1.0,724.5,886.3,['ANTI-MOTIF']
83,4430,17,47.5+-11.5,-2.64,0.995,36.0,59.0,['ANTI-MOTIF']
84,4434,840,1237.3+-139.3,-2.85,1.0,1098.0,1376.6,['ANTI-MOTIF']
85,4436,16450,18038.5+-352.9,-4.5,1.0,17685.6,18391.4,['ANTI-MOTIF']
86,4438,1156,887.6+-88.1,3.05,0.0,799.5,975.7,['MOTIF']
87,4440,2060,1635.5+-114.9,3.69,0.0,1520.6,1750.4,['MOTIF']
88,4442,52,73.4+-16.4,-1.3,0.945,57.00000000000001,89.80000000000001,['ANTI-MOTIF']
89,4444,742,1137.6+-128.7,-3.07,1.0,1008.8999999999999,1266.3,['ANTI-MOTIF']
90,4446,44,63.5+-12.0,-1.62,0.98,51.5,75.5,['ANTI-MOTIF']
91,4546,1,20.4+-7.5,-2.59,1.0,12.899999999999999,27.9,['ANTI-MOTIF']
92,4548,527,594.7+-52.6,-1.29,0.91,542.1,647.3000000000001,['ANTI-MOTIF']
93,4550,22,36.3+-10.8,-1.32,0.92,25.499999999999996,47.099999999999994,['ANTI-MOTIF']
94,4556,161,277.0+-48.8,-2.38,1.0,228.2,325.8,['ANTI-MOTIF']
95,4558,5,15.6+-6.0,-1.76,0.985,9.6,21.6,['ANTI-MOTIF']
96,4562,16,40.8+-11.3,-2.2,1.0,29.499999999999996,52.099999999999994,['ANTI-MOTIF']
97,4564,976,1313.7+-78.1,-4.33,1.0,1235.6000000000001,1391.8,['ANTI-MOTIF']
98,4566,21,53.4+-11.0,-2.96,1.0,42.4,64.4,['ANTI-MOTIF']
99,4572,272,435.8+-87.1,-1.88,0.985,348.70000000000005,522.9,['ANTI-MOTIF']
100,4574,10,20.2+-6.7,-1.52,0.95,13.5,26.9,['ANTI-MOTIF']
101,4678,594,279.2+-40.9,7.69,0.0,238.29999999999998,320.09999999999997,['MOTIF']
102,4682,53,56.4+-11.6,-0.3,0.585,44.8,68.0,['NA']
103,4686,22,16.9+-6.0,0.86,0.16,10.899999999999999,22.9,['NA']
104,4692,452,535.5+-73.7,-1.13,0.855,461.8,609.2,['ANTI-MOTIF']
105,4694,751,518.3+-64.1,3.63,0.0,454.19999999999993,582.4,['MOTIF']
106,4698,16,32.8+-9.1,-1.85,0.985,23.699999999999996,41.9,['ANTI-MOTIF']
107,4700,19,37.6+-7.7,-2.43,0.995,29.900000000000002,45.300000000000004,['ANTI-MOTIF']
108,4702,14,41.1+-8.7,-3.11,1.0,32.400000000000006,49.8,['ANTI-MOTIF']
109,4740,6,11.8+-5.4,-1.06,0.89,6.4,17.200000000000003,['ANTI-MOTIF']
110,4742,16,41.5+-10.9,-2.33,0.995,30.6,52.4,['ANTI-MOTIF']
