MOTIF ID,Frequency,Interval,z score,p - value
14,121,207.8+-28.2,-3.08,1
28,166,508.0+-69.7,-4.9,1
30,7,30.5+-10.1,-2.33,0.995
74,833,1052.3+-84.2,-2.6,0.99
76,10054,12493.8+-552.0,-4.42,1
78,693,877.9+-70.1,-2.64,0.99
90,5,26.8+-9.0,-2.42,0.995
92,503,811.5+-100.3,-3.08,1
94,28,42.6+-10.5,-1.39,0.93
204,1567,2372.0+-451.0,-1.79,0.97
206,267,336.8+-87.3,-0.8,0.76
222,13,9.0+-5.8,0.69,0.265
280,6344,6278.8+-544.3,0.12,0.455
282,441,919.6+-115.0,-4.16,1
286,14,35.2+-10.5,-2.02,1
328,698,873.6+-108.4,-1.62,0.965
330,10,54.2+-16.1,-2.74,1
332,527,687.6+-103.8,-1.55,0.93
334,28,38.9+-10.9,-1,0.84
344,1147,840.1+-98.4,3.12,0
346,18,44.7+-11.2,-2.38,0.995
348,761,691.6+-118.8,0.58,0.275
350,56,41.9+-11.4,1.23,0.11
390,41,61.1+-17.5,-1.15,0.89
392,11477,10559.8+-448.7,2.04,0.02
394,693,682.8+-51.5,0.2,0.41
396,722,807.7+-96.5,-0.89,0.795
398,20,47.8+-12.0,-2.33,1
404,887,951.2+-72.2,-0.89,0.825
406,19,61.8+-15.8,-2.71,1
408,9535,9120.9+-353.4,1.17,0.105
410,818,568.2+-70.9,3.53,0
412,442,738.3+-92.0,-3.22,1
414,31,51.2+-10.1,-1.99,0.99
454,13,43.9+-12.0,-2.59,1
456,534,719.5+-96.0,-1.93,0.985
458,21,42.6+-11.8,-1.82,0.975
460,331,589.8+-111.8,-2.32,1
462,15,33.9+-11.3,-1.67,0.99
468,301,356.8+-44.9,-1.24,0.92
470,26,40.0+-9.9,-1.42,0.955
472,606,647.0+-70.6,-0.58,0.72
474,17,34.1+-8.6,-1.98,0.985
476,404,567.3+-118.6,-1.38,0.915
478,39,35.4+-12.4,0.29,0.395
856,40,24.1+-8.8,1.8,0.07
858,49,45.4+-10.9,0.33,0.415
862,43,33.0+-9.9,1.01,0.17
904,372,369.1+-43.0,0.07,0.47
906,827,595.8+-66.1,3.5,0
908,30,42.8+-12.9,-0.99,0.83
910,57,34.3+-9.7,2.34,0.02
922,431,267.9+-43.7,3.74,0
924,33,37.0+-10.7,-0.38,0.675
926,38,39.1+-10.5,-0.1,0.56
972,12,23.3+-7.8,-1.45,0.945
974,23,34.1+-11.0,-1,0.865
990,18,28.4+-9.3,-1.12,0.895
