,MOTIF ID,Frequency,Interval,z score,p - value,lowerLimit,upperLimit,Statistical Significance
0,14,169,251.9+-29.0,-2.86,1.0,222.9,280.9,['ANTI-MOTIF']
1,28,135,354.9+-60.5,-3.63,1.0,294.4,415.4,['ANTI-MOTIF']
2,30,4,19.4+-7.1,-2.18,0.995,12.299999999999999,26.5,['ANTI-MOTIF']
3,74,912,979.4+-88.5,-0.76,0.77,890.9,1067.9,['NA']
4,76,10724,12849.1+-477.9,-4.45,1.0,12371.2,13327.0,['ANTI-MOTIF']
5,78,816,889.3+-56.8,-1.29,0.92,832.5,946.0999999999999,['ANTI-MOTIF']
6,90,9,17.1+-7.2,-1.13,0.88,9.900000000000002,24.3,['ANTI-MOTIF']
7,92,377,643.1+-81.3,-3.27,0.995,561.8000000000001,724.4,['ANTI-MOTIF']
8,94,27,20.3+-6.5,1.03,0.195,13.8,26.8,['MOTIF']
9,204,1467,2364.4+-358.3,-2.5,1.0,2006.1000000000001,2722.7000000000003,['ANTI-MOTIF']
10,206,266,254.7+-50.0,0.23,0.42,204.7,304.7,['NA']
11,222,16,2.1+-1.8,7.76,0.0,0.30000000000000004,3.9000000000000004,['MOTIF']
12,280,3938,4168.1+-436.6,-0.53,0.695,3731.5000000000005,4604.700000000001,['NA']
13,282,161,417.3+-76.7,-3.34,1.0,340.6,494.0,['ANTI-MOTIF']
14,286,0,14.3+-5.5,-2.62,1.0,8.8,19.8,['ANTI-MOTIF']
15,328,860,616.7+-89.3,2.73,0.0,527.4000000000001,706.0,['MOTIF']
16,330,17,33.5+-12.9,-1.28,0.935,20.6,46.4,['ANTI-MOTIF']
17,332,444,466.5+-87.0,-0.26,0.61,379.5,553.5,['NA']
18,334,12,26.6+-8.3,-1.76,0.98,18.3,34.900000000000006,['ANTI-MOTIF']
19,344,972,559.8+-78.5,5.25,0.0,481.29999999999995,638.3,['MOTIF']
20,346,21,20.5+-6.2,0.08,0.51,14.3,26.7,['NA']
21,348,348,381.1+-78.7,-0.42,0.63,302.40000000000003,459.8,['NA']
22,350,7,17.4+-6.3,-1.64,0.965,11.099999999999998,23.7,['ANTI-MOTIF']
23,390,63,39.4+-11.2,2.11,0.035,28.2,50.599999999999994,['MOTIF']
24,392,7467,7998.1+-355.8,-1.49,0.945,7642.3,8353.9,['ANTI-MOTIF']
25,394,427,378.9+-34.9,1.38,0.08,344.0,413.79999999999995,['MOTIF']
26,396,352,463.2+-89.9,-1.24,0.925,373.29999999999995,553.1,['ANTI-MOTIF']
27,398,7,23.1+-7.1,-2.28,0.985,16.0,30.200000000000003,['ANTI-MOTIF']
28,404,921,771.4+-76.6,1.95,0.025,694.8,848.0,['MOTIF']
29,406,21,39.5+-11.0,-1.68,0.975,28.5,50.5,['ANTI-MOTIF']
30,408,6247,6312.5+-245.4,-0.27,0.61,6067.1,6557.9,['NA']
31,410,337,196.8+-41.9,3.35,0.0,154.9,238.70000000000002,['MOTIF']
32,412,241,351.0+-55.3,-1.99,0.985,295.7,406.3,['ANTI-MOTIF']
33,414,7,16.3+-5.7,-1.63,0.98,10.600000000000001,22.0,['ANTI-MOTIF']
34,454,33,29.1+-9.1,0.43,0.305,20.0,38.2,['NA']
35,456,328,526.9+-71.5,-2.78,1.0,455.4,598.4,['ANTI-MOTIF']
36,458,15,21.6+-8.5,-0.77,0.81,13.100000000000001,30.1,['NA']
37,460,126,365.5+-86.6,-2.76,1.0,278.9,452.1,['ANTI-MOTIF']
38,462,6,15.7+-6.0,-1.63,0.975,9.7,21.7,['ANTI-MOTIF']
39,468,345,336.3+-48.1,0.18,0.4,288.2,384.40000000000003,['NA']
40,470,32,24.9+-7.7,0.93,0.155,17.2,32.6,['NA']
41,472,513,455.0+-52.2,1.11,0.135,402.8,507.2,['MOTIF']
42,474,6,10.9+-4.5,-1.1,0.895,6.4,15.4,['ANTI-MOTIF']
43,476,176,288.9+-66.4,-1.7,0.955,222.49999999999997,355.29999999999995,['ANTI-MOTIF']
44,478,22,8.4+-4.1,3.32,0.0,4.300000000000001,12.5,['MOTIF']
