MOTIF ID,Frequency,Interval,z score,p - value
14,169,251.9+-29.0,-2.86,1
28,135,354.9+-60.5,-3.63,1
30,4,19.4+-7.1,-2.18,0.995
74,912,979.4+-88.5,-0.76,0.77
76,10724,12849.1+-477.9,-4.45,1
78,816,889.3+-56.8,-1.29,0.92
90,9,17.1+-7.2,-1.13,0.88
92,377,643.1+-81.3,-3.27,0.995
94,27,20.3+-6.5,1.03,0.195
204,1467,2364.4+-358.3,-2.5,1
206,266,254.7+-50.0,0.23,0.42
222,16,2.1+-1.8,7.76,0
280,3938,4168.1+-436.6,-0.53,0.695
282,161,417.3+-76.7,-3.34,1
286,0,14.3+-5.5,-2.62,1
328,860,616.7+-89.3,2.73,0
330,17,33.5+-12.9,-1.28,0.935
332,444,466.5+-87.0,-0.26,0.61
334,12,26.6+-8.3,-1.76,0.98
344,972,559.8+-78.5,5.25,0
346,21,20.5+-6.2,0.08,0.51
348,348,381.1+-78.7,-0.42,0.63
350,7,17.4+-6.3,-1.64,0.965
390,63,39.4+-11.2,2.11,0.035
392,7467,7998.1+-355.8,-1.49,0.945
394,427,378.9+-34.9,1.38,0.08
396,352,463.2+-89.9,-1.24,0.925
398,7,23.1+-7.1,-2.28,0.985
404,921,771.4+-76.6,1.95,0.025
406,21,39.5+-11.0,-1.68,0.975
408,6247,6312.5+-245.4,-0.27,0.61
410,337,196.8+-41.9,3.35,0
412,241,351.0+-55.3,-1.99,0.985
414,7,16.3+-5.7,-1.63,0.98
454,33,29.1+-9.1,0.43,0.305
456,328,526.9+-71.5,-2.78,1
458,15,21.6+-8.5,-0.77,0.81
460,126,365.5+-86.6,-2.76,1
462,6,15.7+-6.0,-1.63,0.975
468,345,336.3+-48.1,0.18,0.4
470,32,24.9+-7.7,0.93,0.155
472,513,455.0+-52.2,1.11,0.135
474,6,10.9+-4.5,-1.1,0.895
476,176,288.9+-66.4,-1.7,0.955
478,22,8.4+-4.1,3.32,0
856,54,11.3+-5.1,8.39,0
858,45,22.0+-6.6,3.5,0
862,15,10.0+-5.0,1,0.175
904,246,266.6+-35.3,-0.58,0.69
906,356,317.3+-43.3,0.89,0.175
908,3,20.2+-7.4,-2.32,1
910,7,11.0+-4.6,-0.86,0.83
922,140,78.6+-26.8,2.29,0.035
924,4,12.3+-4.7,-1.77,0.99
926,8,8.3+-3.7,-0.07,0.52
972,2,10.0+-5.3,-1.5,0.975
974,9,10.9+-4.8,-0.4,0.665
990,6,3.9+-2.6,0.81,0.235
2184,84909,85991.5+-1034.0,-1.05,0.85
2186,31482,31065.9+-714.7,0.58,0.3
2190,697,1104.3+-84.1,-4.84,1
2202,1262,674.3+-109.1,5.39,0
2204,1215,1387.1+-89.2,-1.93,0.99
2206,41,63.4+-14.8,-1.51,0.955
2252,10366,10514.5+-376.0,-0.39,0.645
2254,1482,1057.7+-90.5,4.69,0
2270,65,13.3+-5.5,9.41,0
2458,877,797.1+-94.7,0.84,0.225
2462,11,23.1+-8.1,-1.5,0.97
2506,8,17.0+-6.7,-1.34,0.95
2510,40,26.7+-8.1,1.64,0.075
2524,502,260.4+-42.7,5.65,0
2526,51,20.2+-6.6,4.7,0
3038,10,1.7+-1.7,4.99,0
4370,11315,13198.2+-596.4,-3.16,1
4374,300,774.8+-103.6,-4.58,1
4382,2,17.2+-6.2,-2.47,1
4418,212,334.2+-79.9,-1.53,0.935
4420,1988,2549.4+-194.1,-2.89,1
4422,144,214.6+-38.8,-1.82,0.99
4424,535,488.6+-49.4,0.94,0.205
4426,10,20.8+-7.0,-1.54,0.97
4428,195,402.7+-55.7,-3.73,1
4430,6,16.7+-5.8,-1.85,0.98
4434,889,1320.6+-129.9,-3.32,1
4436,23133,22053.9+-385.4,2.8,0
4438,1216,961.3+-87.0,2.93,0.005
4440,2290,1941.2+-165.2,2.11,0.01
4442,35,92.5+-20.4,-2.82,1
